"either_internet","how_long_ago_first_met","how_long_ago_first_romantic","how_long_relationship","married","relationship_quality","relationship_quality_num"
"No",11,11,11,"married","excellent",4
"No",20,20,20,"married","excellent",4
"Yes",3,3,2.5,"married","excellent",4
"No",3,3,1.5,"married","excellent",4
"No",10,9,9,"married","excellent",4
"No",17,17,17,"married","fair",2
"No",7,3,4,"not married","good",3
"No",24,22,22,"married","excellent",4
"No",2,2,0.45,"married","excellent",4
"No",36,36,36,"married","excellent",4
"No",47,47,47,"married","excellent",4
"No",55,55,55,"married","fair",2
"No",17,NA,NA,"married","excellent",4
"No",5,4,4,"married","good",3
"No",1,1,1.5,"married","excellent",4
"No",39,36,36,"married","good",3
"No",44,44,44,"married","excellent",4
"No",9,4,4,"not married","excellent",4
"No",0,0,0.15,"not married","fair",2
"No",53,53,53,"married","good",3
"No",14,13,13,"not married","excellent",4
"No",7,7,7,"married","good",3
"Yes",0,0,0.45,"not married","excellent",4
"No",14,14,14,"married","fair",2
"No",21,20,20,"married","excellent",4
"No",55,54,54,"married","excellent",4
"No",32,32,32,"married","fair",2
"No",70,66,66,"married","excellent",4
"No",2,2,1.5,"not married","good",3
"No",20,20,20,"married","good",3
"No",30,0,0.45,"not married","excellent",4
"No",35,34,34,"married","good",3
"No",6,6,6,"not married","fair",2
"No",25,25,25,"married","good",3
"No",56,55,55,"married","excellent",4
"No",0,0,0.05,"not married","excellent",4
"No",9,9,9,"married","excellent",4
"Yes",7,7,7,"not married","fair",2
"No",30,30,30,"married","good",3
"No",25,24,24,"married","good",3
"No",39,39,39,"married","excellent",4
"Yes",11,11,11,"married","excellent",4
"No",18,17,17,"married","good",3
"No",13,13,13,"not married","fair",2
"No",24,24,24,"married","excellent",4
"No",37,37,37,"married","excellent",4
"No",18,18,18,"married","excellent",4
"No",9,9,9,"married","excellent",4
"No",12,12,12,"married","excellent",4
"No",59,55,55,"married","excellent",4
"No",2,1,2.5,"married","fair",2
"No",12,12,12,"not married","excellent",4
"No",31,31,31,"married","good",3
"No",1,1,1.5,"not married","excellent",4
"No",20,20,20,"married","excellent",4
"Yes",6,6,6,"married","excellent",4
"No",4,4,4,"married","excellent",4
"No",14,14,14,"not married","good",3
"No",10,8,8,"not married","good",3
"No",5,4,4,"married","excellent",4
"Yes",2,2,2.5,"not married","excellent",4
"No",59,59,59,"married","good",3
"No",11,11,11,"married","good",3
"No",6,6,6,"not married","good",3
"No",27,24,24,"married","excellent",4
"No",8,1,1.5,"not married","good",3
"No",10,10,10,"married","excellent",4
"No",31,31,31,"married","good",3
"No",29,29,29,"married","fair",2
"No",54,54,54,"married","excellent",4
"No",25,25,25,"married","excellent",4
"No",10,10,10,"married","excellent",4
"No",21,21,21,"not married","good",3
"No",64,63,63,"married","excellent",4
"Yes",2,NA,NA,"married","excellent",4
"Yes",3,2,1.5,"not married","fair",2
"No",39,39,39,"married","excellent",4
"No",20,20,20,"married","excellent",4
"No",60,60,60,"married","excellent",4
"No",46,44,44,"married","excellent",4
"No",19,18,18,"married","excellent",4
"No",48,48,48,"married","excellent",4
"No",44,39,39,"married","excellent",4
"No",0,0,0.15,"not married","good",3
"No",27,27,27,"married","excellent",4
"No",23,23,23,"married","excellent",4
"No",16,16,16,"married","very poor",0
"No",40,40,40,"married","excellent",4
"No",6,6,6,"not married","excellent",4
"No",10,4,4,"not married","excellent",4
"No",9,7,7,"not married","good",3
"No",58,58,58,"married","excellent",4
"No",36,36,36,"married","excellent",4
"No",6,6,6,"married","excellent",4
"No",50,40,40,"married","excellent",4
"Yes",9,9,9,"not married","good",3
"No",19,18,18,"married","good",3
"No",39,39,39,"married","good",3
"No",23,19,19,"married","excellent",4
"No",55,NA,NA,"married","excellent",4
"No",24,24,24,"married","excellent",4
"No",13,12,12,"married","excellent",4
"No",1,0,1.5,"not married","excellent",4
"No",19,8,8,"married","excellent",4
"No",25,25,25,"married","good",3
"No",28,25,25,"married","excellent",4
"No",33,33,33,"married","excellent",4
"Yes",5,5,5,"married","good",3
"No",67,66,66,"married","excellent",4
"No",47,47,47,"married","excellent",4
"No",20,19,19,"married","excellent",4
"No",54,52,52,"married","good",3
"No",11,10,10,"married","excellent",4
"No",21,21,21,"married","fair",2
"No",43,42,42,"married","excellent",4
"No",9,6,6,"not married","good",3
"No",40,1,2.5,"not married","good",3
"No",42,42,42,"married","excellent",4
"No",25,25,25,"married","excellent",4
"No",58,58,58,"married","excellent",4
"No",24,24,24,"not married","excellent",4
"No",41,41,41,"married","excellent",4
"No",0,0,0.05,"not married","good",3
"No",12,12,12,"married","good",3
"No",35,35,35,"married","good",3
"No",15,15,15,"not married","good",3
"No",1,1,1.5,"married","excellent",4
"No",13,13,13,"married","excellent",4
"No",12,12,12,"married","excellent",4
"No",21,21,21,"married","excellent",4
"No",7,6,6,"not married","fair",2
"No",3,3,4,"married","excellent",4
"No",22,20,20,"not married","poor",1
"Yes",1,1,0.15,"not married","fair",2
"No",28,18,18,"married","fair",2
"No",4,4,4,"not married","excellent",4
"No",46,12,12,"not married","excellent",4
"No",7,5,5,"not married","excellent",4
"No",2,2,1.5,"not married","excellent",4
"No",27,27,27,"married","excellent",4
"No",27,26,26,"married","excellent",4
"No",0,0,0.45,"not married","good",3
"No",7,7,7,"not married","good",3
"No",17,17,17,"married","good",3
"No",41,41,41,"married","excellent",4
"No",12,11,11,"not married","good",3
"No",NA,3,1.5,"not married","good",3
"No",38,38,38,"married","excellent",4
"No",23,23,23,"married","excellent",4
"No",4,4,4,"married","excellent",4
"No",47,45,45,"married","excellent",4
"Yes",0,0,0.45,"not married","fair",2
"No",11,11,11,"not married","excellent",4
"No",33,33,33,"married","excellent",4
"No",18,18,18,"married","good",3
"Yes",0,0,0.75,"not married","excellent",4
"No",21,20,20,"married","good",3
"No",17,17,17,"married","excellent",4
"No",0,0,0.15,"not married","fair",2
"No",26,26,26,"married","excellent",4
"No",16,16,16,"not married","excellent",4
"No",47,47,47,"married","fair",2
"No",2,2,2.5,"not married","excellent",4
"No",14,14,14,"married","good",3
"No",1,1,1.5,"married","excellent",4
"No",NA,46,46,"married","good",3
"No",5,4,4,"not married","good",3
"No",26,26,26,"married","fair",2
"No",9,9,9,"not married","good",3
"No",1,1,0.75,"not married","excellent",4
"No",27,21,21,"married","excellent",4
"No",2,2,2.5,"not married","excellent",4
"No",57,47,47,"married","excellent",4
"No",12,12,12,"married","poor",1
"No",11,11,11,"not married","good",3
"No",28,28,28,"married","very poor",0
"No",40,40,40,"married","excellent",4
"No",13,13,13,"married","excellent",4
"No",49,49,49,"married","good",3
"Yes",1,1,0.75,"not married","excellent",4
"No",26,13,13,"not married","excellent",4
"No",51,51,51,"married","excellent",4
"No",1,1,0.75,"not married","excellent",4
"No",10,10,10,"not married","excellent",4
"No",12,12,12,"married","good",3
"No",20,18,18,"married","excellent",4
"No",48,48,48,"married","good",3
"No",36,36,36,"married","very poor",0
"No",11,11,11,"married","excellent",4
"No",8,8,8,"married","excellent",4
"No",9,9,9,"married","excellent",4
"No",10,9,9,"not married","good",3
"No",34,34,34,"married","excellent",4
"No",46,46,46,"married","excellent",4
"Yes",6,6,6,"married","excellent",4
"No",27,23,23,"married","good",3
"No",11,10,10,"married","excellent",4
"No",13,12,12,"married","good",3
"Yes",4,2,1.5,"not married","excellent",4
"Yes",2,2,1.5,"not married","excellent",4
"No",23,23,23,"married","good",3
"No",66,66,66,"married","excellent",4
"No",54,51,51,"married","excellent",4
"No",6,0,0.05,"not married","good",3
"No",4,4,4,"married","excellent",4
"No",16,8,8,"married","excellent",4
"No",13,12,12,"married","good",3
"No",0,0,0.15,"not married","poor",1
"No",11,11,11,"not married","good",3
"No",13,10,10,"married","excellent",4
"No",8,8,8,"not married","fair",2
"Yes",9,8,8,"married","excellent",4
"No",7,4,4,"married","excellent",4
"No",10,10,10,"married","excellent",4
"No",18,18,18,"married","good",3
"No",0,0,0.05,"not married","good",3
"No",13,13,13,"not married","excellent",4
"No",10,10,10,"not married","excellent",4
"No",8,8,8,"married","good",3
"No",9,8,8,"married","good",3
"No",0,0,0.45,"not married","excellent",4
"No",37,36,36,"married","excellent",4
"No",71,55,55,"married","excellent",4
"No",11,11,11,"married","good",3
"No",25,23,23,"married","good",3
"No",36,36,36,"not married","good",3
"No",20,20,20,"married","excellent",4
"No",1,1,1.5,"not married","good",3
"No",13,13,13,"not married","excellent",4
"No",41,41,41,"married","excellent",4
"No",24,24,24,"married","excellent",4
"No",25,25,25,"married","excellent",4
"No",7,7,7,"married","good",3
"No",23,23,23,"married","excellent",4
"No",27,26,26,"not married","excellent",4
"No",35,30,30,"married","excellent",4
"No",10,9,9,"married","excellent",4
"No",52,50,50,"married","good",3
"No",8,8,8,"not married","good",3
"No",20,18,18,"married","excellent",4
"No",14,13,13,"married","excellent",4
"No",4,3,4,"married","excellent",4
"No",9,9,9,"married","good",3
"No",1,1,0.15,"not married","good",3
"No",2,2,1.5,"not married","good",3
"No",33,32,32,"married","excellent",4
"No",21,21,21,"married","very poor",0
"No",42,42,42,"married","excellent",4
"No",13,13,13,"married","good",3
"No",1,1,1.5,"not married","excellent",4
"No",11,11,11,"not married","excellent",4
"No",5,5,5,"married","good",3
"No",45,32,32,"not married","good",3
"No",37,35,35,"married","excellent",4
"No",25,20,20,"married","excellent",4
"No",37,35,35,"married","excellent",4
"No",42,42,42,"married","excellent",4
"No",8,8,8,"not married","good",3
"No",6,6,6,"married","good",3
"No",21,20,20,"married","good",3
"No",13,13,13,"married","excellent",4
"No",15,14,14,"married","excellent",4
"Yes",10,10,10,"not married","excellent",4
"No",6,6,6,"married","excellent",4
"No",6,5,5,"married","good",3
